Hub Office,State,Locality,Site Name,Site ID,CP Name,Activity at Site,Activity Details,Modality,Monitoring By,Survey under Master tool,Number of visit planned for May 2026,Use Market Diversion Monitoring,Use Warehouse Monitoring,Visit Date,Comments
Port Sudan Hub,Red Sea,Agig,Abu Asheir,12ABUOSHAIRGFA,WVI,GFA - SANAD,CBT - Cash in Hand,In-kind,PACT,PDM,1,No,No,01-05-2026,May 2026 plan
Port Sudan Hub,Red Sea,Agig,Aideb,12AIDABGFA,WVI,GFA - SANAD,CBT - Cash in Hand,In-kind,PACT,PDM,1,No,No,01-05-2026,May 2026 plan
Port Sudan Hub,Red Sea,Agig,Armadi,12ARMADYGFA,WVI,GFA - SANAD,CBT - Cash in Hand,In-kind,PACT,PDM,1,No,No,01-05-2026,May 2026 plan
Port Sudan Hub,Red Sea,Agig,Gatraneit,REAGGATRANEISDGN,WVI,GFA - SANAD,CBT - Cash in Hand,In-kind,PACT,PDM,1,No,No,01-05-2026,May 2026 plan
Port Sudan Hub,Red Sea,Agig,Seabet,REAGSEABETEU96,WVI,GFA - SANAD,CBT - Cash in Hand,In-kind,PACT,PDM,1,No,No,01-05-2026,May 2026 plan
Port Sudan Hub,Red Sea,Agig,Malhab,12MILHABGFA,WVI,GFA - SANAD,CBT - Cash in Hand,In-kind,PACT,PDM,1,No,No,01-05-2026,May 2026 plan
Port Sudan Hub,Red Sea,Agig,Aradaieb,REAGARADAIEBIS42,WVI,GFA - SANAD,CBT - Cash in Hand,In-kind,PACT,PDM,1,No,No,01-05-2026,May 2026 plan
Port Sudan Hub,Red Sea,Agig,Toneit,12TONIETGFA,WVI,GFA - SANAD,CBT - Cash in Hand,In-kind,PACT,PDM,1,No,No,01-05-2026,May 2026 plan
Port Sudan Hub,Red Sea,Agig,Balgigo A,12BALJIKOAGFA,WVI,GFA - SANAD,CBT - Cash in Hand,In-kind,PACT,PDM,1,No,No,01-05-2026,May 2026 plan
Port Sudan Hub,Red Sea,Agig,Balgigo B,12BALJIKOBGFA,WVI,GFA - SANAD,CBT - Cash in Hand,In-kind,PACT,PDM,1,No,No,01-05-2026,May 2026 plan
Kassala Hub,Blue Nile,Baw,MUSFA,64MASFATSFP,Save The children,TSFP,TSFP,In-kind,PACT,AIM,1,No,No,01-05-2026,May 2026 plan
Kassala Hub,Blue Nile,Baw,AHMAR SEDAK,64AHMESEEDAKGFA,WR,TSFP,TSFP,In-kind,PACT,AIM,1,No,No,01-05-2026,May 2026 plan
Kassala Hub,Blue Nile,Baw,DAIRANG,BNBAWDAIRANG001,WR,TSFP,TSFP,In-kind,PACT,AIM,1,No,No,01-05-2026,May 2026 plan
Kassala Hub,Blue Nile,Baw,ABU GRAIN,BNBAWABUGRAIN001,WR,TSFP,TSFP,In-kind,PACT,AIM,1,No,No,01-05-2026,May 2026 plan
Kassala Hub,Blue Nile,Baw,SOUDA,BNBAWSOUDA001,WR,TSFP,TSFP,In-kind,PACT,AIM,1,No,No,01-05-2026,May 2026 plan
Kassala Hub,Blue Nile,Baw,KELGO,BNBAWKELGO001,WR,TSFP,TSFP,In-kind,PACT,AIM,1,No,No,01-05-2026,May 2026 plan
Kassala Hub,Blue Nile,Baw,BAW,64BAWGFA,WR,TSFP,TSFP,In-kind,PACT,AIM,1,No,No,01-05-2026,May 2026 plan
Kassala Hub,Blue Nile,Baw,JUGO,BNBAWJUGO001,WR,TSFP,TSFP,In-kind,PACT,AIM,1,No,No,01-05-2026,May 2026 plan
Kassala Hub,Blue Nile,Baw,ELSHAHID AFNDI,BNBAWELSHAHID001,WR,TSFP,TSFP,In-kind,PACT,AIM,1,No,No,01-05-2026,May 2026 plan
Kassala Hub,Blue Nile,Baw,GABANET,64GABANITGFA,Save The children,TSFP,TSFP,In-kind,PACT,AIM,1,No,No,01-05-2026,May 2026 plan
Kassala Hub,Blue Nile,Baw,KUMREEK,64KUMREEKTSFP,WR,TSFP,TSFP,In-kind,PACT,AIM,1,No,No,01-05-2026,May 2026 plan
Kassala Hub,Blue Nile,Baw,FADAMIA,64FADAMIATSFP,WR,TSFP,TSFP,In-kind,PACT,AIM,1,No,No,01-05-2026,May 2026 plan
