| tablename                           | policy_count |
| ----------------------------------- | ------------ |
| app_versions                        | 3            |
| audit_logs                          | 12           |
| budget_alerts                       | 1            |
| budget_transactions                 | 1            |
| chat_message_reads                  | 3            |
| chat_messages                       | 5            |
| chat_participants                   | 5            |
| chats                               | 5            |
| classification_fee_structures       | 2            |
| comprehensive_monitoring_checklists | 5            |
| cost_adjustment_audit               | 2            |
| cost_approval_history               | 2            |
| dashboard_settings                  | 5            |
| data_visibility_settings            | 5            |
| deletion_audit_log                  | 2            |
| down_payment_requests               | 5            |
| feedback                            | 4            |
| handwriting_signatures              | 3            |
| hub_states                          | 6            |
| hubs                                | 6            |
| incident_reports                    | 4            |
| location_logs                       | 2            |
| mmp_budgets                         | 1            |
| mmp_files                           | 4            |
| mmp_site_entries                    | 12           |
| notifications                       | 9            |
| password_reset_tokens               | 1            |
| payout_requests                     | 8            |
| permissions                         | 2            |
| profiles                            | 6            |
| project_activities                  | 1            |
| project_budgets                     | 1            |
| project_scopes                      | 4            |
| projects                            | 1            |
| report_photos                       | 4            |
| reports                             | 4            |
| roles                               | 2            |
| site_locations                      | 5            |
| site_visit_cost_submissions         | 5            |
| site_visit_costs                    | 4            |
| sites_registry                      | 6            |
| sub_activities                      | 1            |
| super_admins                        | 8            |
| team_members                        | 1            |
| user_classifications                | 2            |
| user_roles                          | 5            |
| user_settings                       | 5            |
| wallet_balances                     | 1            |
| wallet_settings                     | 6            |
| wallet_transactions                 | 10           |
| wallets                             | 8            |
| withdrawal_requests                 | 5            |
